Name,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
Admiral's photo,Natural wood,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv,False
Admiral's photo,Dark wood,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP,False
Admiral's photo,Pastel,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_2_0,2_0,6626,MaYsPpzQ7goTdZxyk,False
Admiral's photo,White,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_3_0,3_0,6626,aLPtG7KDGZvFjs4pb,False
Admiral's photo,Pop,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_4_0,4_0,6626,36eafotwE2YtogcHS,False
Admiral's photo,Colorful,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_5_0,5_0,6626,AEPKL9Ss5g9KoseEt,False
Admiral's photo,Silver,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_6_0,6_0,6626,t5ekqLdJHSJRhfSh5,False
Admiral's photo,Gold,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_7_0,7_0,6626,mG5Qvu9ydLKh5f6zP,False
Agent S's photo,Natural wood,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_0_0,0_0,6709,ajFvDMZMfMgAgcpk8,False
Agent S's photo,Dark wood,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_1_0,1_0,6709,2tCrrFyttoA4LtMJi,False
Agent S's photo,Pastel,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_2_0,2_0,6709,k5LqupBSGSfP3Htea,False
Agent S's photo,White,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_3_0,3_0,6709,d3LgDHw7Cy3XCRXYs,False
Agent S's photo,Pop,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_4_0,4_0,6709,iomBsZt9QqcSzT3H7,False
Agent S's photo,Colorful,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_5_0,5_0,6709,K3hy4ggMxgXBMckmm,False
Agent S's photo,Silver,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_6_0,6_0,6709,46s4b7pCXCjcCr7MP,False
Agent S's photo,Gold,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_7_0,7_0,6709,2jhfB8AxfCMXKRZrC,False
Agnes's photo,Natural wood,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_0_0,0_0,6661,Y9TFv46iQHZu2zFZd,False
Agnes's photo,Dark wood,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_1_0,1_0,6661,Jx66fd7cnM8ZWbhaJ,False
Agnes's photo,Pastel,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_2_0,2_0,6661,gXbBWYiRdoyaySYAH,False
Agnes's photo,White,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_3_0,3_0,6661,S77GzrsKa8RNG57LK,False
Agnes's photo,Pop,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_4_0,4_0,6661,x2cJ95t8guFyT3Rr3,False
Agnes's photo,Colorful,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_5_0,5_0,6661,AZxhvbHLYYD7XibxR,False
Agnes's photo,Silver,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_6_0,6_0,6661,FBuzWvevFzyJpu9Nx,False
Agnes's photo,Gold,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_7_0,7_0,6661,8PK88rGguoqtW3gEE,False
Al's photo,Natural wood,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_0_0,0_0,6518,fgXqHQkbNynr4dHSj,False
Al's photo,Dark wood,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_1_0,1_0,6518,pTvyPF7Qg82Xppnt7,False
Al's photo,Pastel,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_2_0,2_0,6518,ZiRaBj2YcL5yfaRzh,False
Al's photo,White,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_3_0,3_0,6518,wJayuqNjGeFRAQEZe,False
Al's photo,Pop,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_4_0,4_0,6518,b973uXnbfTtF3NAKw,False
Al's photo,Colorful,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_5_0,5_0,6518,bDGnD6iJH78niht5i,False
Al's photo,Silver,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_6_0,6_0,6518,QAqdzm9yTfWXatwPZ,False
Al's photo,Gold,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_7_0,7_0,6518,daiPoNWQSCF32yPNf,False
Alfonso's photo,Natural wood,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_0_0,0_0,6800,sHeBWxocuJwBwwsX9,False
Alfonso's photo,Dark wood,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_1_0,1_0,6800,Kf5pDkihCrLbF8ujD,False
Alfonso's photo,Pastel,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_2_0,2_0,6800,pTCmAGBtxrDSxDW4a,False
Alfonso's photo,White,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_3_0,3_0,6800,ZuFEMzDFa7wJHX9G3,False
Alfonso's photo,Pop,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_4_0,4_0,6800,EozfDw3LwTKd2mpW2,False
Alfonso's photo,Colorful,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_5_0,5_0,6800,JrkQkorv9kFgrgaE8,False
Alfonso's photo,Silver,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_6_0,6_0,6800,m77WnAr5d6fBTS98s,False
Alfonso's photo,Gold,Frame,,,False,True,1,,10,Orange,Red,1x1,High Friendship,1.0.0,BromideNpcNmlCrd00_Remake_7_0,7_0,6800,jsr3zu4bLXDBPe7ot,False
Alice's photo,Natural wood,Frame,,,False,True,1,,10,Beige,White,1x1,High Friendship,1.0.0,BromideNpcNmlKal01_Remake_0_0,0_0,6555,gZp2fontkZDvuszMd,False
Alice's photo,Dark wood,Frame,,,False,True,1,,10,Beige,White,1x1,High Friendship,1.0.0,BromideNpcNmlKal01_Remake_1_0,1_0,6555,Wa3mCutCKZdo96Yjn,False
Alice's photo,Pastel,Frame,,,False,True,1,,10,Beige,White,1x1,High Friendship,1.0.0,BromideNpcNmlKal01_Remake_2_0,2_0,6555,wHSfmTb2KjxyALHAD,False
Alice's photo,White,Frame,,,False,True,1,,10,Beige,White,1x1,High Friendship,1.0.0,BromideNpcNmlKal01_Remake_3_0,3_0,6555,kcpxvj9sGS44FbX2c,False
