Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
acid-washed jeans,Blue,False,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; outdoorsy,False,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy,True
acid-washed jeans,Black,False,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; outdoorsy,False,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH,True
animal-stripes skirt,Tiger,False,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday,False,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs,True
animal-stripes skirt,Zebra,False,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday,False,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon,True
apron skirt,Purple,False,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd,True
apron skirt,Blue,False,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra,True
apron skirt,Beige,False,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs,True
athletic pants,Red,False,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA,True
athletic pants,Green,False,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK,True
athletic pants,Black,False,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2,True
athletic pants,Blue,False,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi,True
athletic pants,Berry red,False,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG,True
athletic pants,Navy blue,False,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4,True
athletic shorts,Red,False,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey0,4518,Pz4KvZgNanynj88ut,True
athletic shorts,Green,False,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey1,11905,Cgi5fvfgm5YEdCpNu,True
athletic shorts,Black,False,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey2,11906,XZyRpyaiPbfw5nwTD,True
