Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
apple umbrella,True,,1400,Yellow,Red,1x1,,Crafting,,1.0.0,True,UmbrellaApple0,9948,FPxdw28z9s2gYgjmr,False
bat umbrella,False,840,210,Black,Black,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBat0,6919,EZnRx49foq3M36yQ4,True
beach umbrella,False,770,192,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBeach0,9957,3SSFuv6LiH63jych3,True
bear umbrella,False,1570,392,Brown,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaBear0,7167,s7KoPpysn27AeC5zi,True
black chic umbrella,False,1620,405,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace5,12137,p8yg9xiFwPscNDJNg,True
black lace umbrella,False,750,187,Black,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRace0,6915,7vuSb5AutpNQA573q,True
blue dot parasol,False,750,187,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadot2,9956,SwKuBi2vT7K365A3p,True
blue shiny-bows parasol,False,1620,405,Blue,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace2,12134,BxZ4XdtfJEyWyBPFe,True
blue umbrella,False,770,192,Blue,Blue,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard2,9959,XyJaqSLnBjh5J6vLp,True
busted umbrella,False,1570,392,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaBroken0,7182,gkHD9GKJT9eAekxWQ,True
camo umbrella,False,650,162,Green,Beige,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaOutdoor0,6923,RJYB5itM7mDdtWHpv,True
candy umbrella,False,770,192,Pink,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaGingham0,6926,F6KFg5Yhzgf78pudR,True
cherry umbrella,True,,1400,Red,Red,1x1,,Crafting,,1.0.0,True,UmbrellaCherry0,9949,YwHY3LQXsDeM2iosy,False
cherry-blossom umbrella,True,,2800,Pink,Green,1x1,,Crafting,,1.0.0,True,UmbrellaCherryblossom0,9945,vTu5kLPipRb69vJA3,False
DAL umbrella,False,,1010,Blue,Blue,1x1,,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,1.0.0,True,UmbrellaDoc0,9560,vTdEjywjFjr8AkePD,False
eggy parasol,False,750,187,Yellow,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadot1,9955,qf7Hn5CKMDMBpge9r,True
exquisite parasol,False,1670,417,Yellow,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaChina0,7171,tFFuizXunsrHcMbEj,True
fairy-tale umbrella,False,820,205,Green,Yellow,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaFairytale0,7175,xKBGNFJd2qpWeDWjo,True
fish umbrella,False,,80,Blue,Light blue,1x1,,Fishing Tourney,,1.0.0,True,UmbrellaFish0,8768,bvwaqJav8wmjPj2RC,False
frog umbrella,False,1570,392,Green,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaFrog0,6925,nDBiFvLtf5KeStQNv,True
gelato umbrella,False,750,187,Colorful,Colorful,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaTricolor0,7180,tupHZa6zDdFvobTEt,True
ghost umbrella,False,1670,417,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaTeruteru0,6924,83zEbSL3S3dty4YjN,True
grape umbrella,False,1550,387,Purple,Green,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaGrape0,6911,TJ9cw4XSj64u3uEsx,True
green chic umbrella,False,1620,405,Green,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace4,12136,u2YWae8oz23XcT4u9,True
green umbrella,False,770,192,Green,Green,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard3,9960,8Hf4oRy3cQdundDJK,True
hydrangea umbrella,False,750,187,Light blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaHydrangea0,6906,dmFbrs5ALCJG4KpzB,True
kabuki umbrella,False,1670,417,Purple,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaKabuki0,7177,QenZWqPCSZr9ZCrRh,True
kiwi umbrella,False,1550,387,Green,Brown,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaKiwi0,6908,R9WBMjgoqLwiR3h76,True
lacy parasol,False,1550,387,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaLace0,9946,8ND7Jkfb2fxLJaR7n,True
ladybug umbrella,False,,80,Red,Black,1x1,,Bug-Off,,1.0.0,True,UmbrellaLadybug0,8767,rHNt3mx5hEEDRSRiD,False
