Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
accessories stand,White,,,,False,False,False,,1500,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF,True
accessories stand,Pink,,,,False,False,False,,1500,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn,True
accessories stand,Black,,,,False,False,False,,1500,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7,True
accessories stand,Brown,,,,False,False,False,,1500,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm,True
accessories stand,Light blue,,,,False,False,False,,1500,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9,True
ACNH Nintendo Switch,,,,,False,False,False,,35960,8990,Green,Light blue,1x1,Nintendo; Nook Shopping,,1.1.0,child's room,living room,None,None,False,Game Console,False,Does not play music,Emission,FtrSwitchAC,,12579,4AgPRnxhoQ922pQ4M,True
agrias butterfly model,,,,,False,False,False,,,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectMiirotatehaToy,,7080,6SKoKnXhrf2dk6JZb,False
aluminum briefcase,Stacks of cash,,,,False,False,False,,100000,25000,Gray,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,expensive,None,None,True,Office,False,Does not play music,No lighting,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA,True
aluminum briefcase,Gold bars,,,,False,False,False,,100000,25000,Gray,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,expensive,None,None,True,Office,False,Does not play music,No lighting,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d,True
amp,Black,,,,False,False,False,,5100,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos,True
amp,White,,,,False,False,False,,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_1_0,1_0,849,MyyKQjQLoNwRBxotN,True
amp,Orange,,,,False,False,False,,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_2_0,2_0,849,RvK5HfWmj3JiarEuv,True
amp,Brown,,,,False,False,False,,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_3_0,3_0,849,tBcdytBjuxSm9d2fZ,True
amp,Blue,,,,False,False,False,,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_4_0,4_0,849,AmLfDtSibYyBDrMmY,True
amp,Red,,,,False,False,False,,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_5_0,5_0,849,9PHmPyxF6fjKgGzKA,True
amp,Pink,,,,False,False,False,,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_6_0,6_0,849,yivR6nwwzFWyQ5ogM,True
analog kitchen scale,Red,,,,False,False,False,,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_0_0,0_0,3993,6WMJcEFXoWt9mmtvE,True
analog kitchen scale,Yellow,,,,False,False,False,,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_1_0,1_0,3993,YfYgj2jXPy6sip9Qu,True
analog kitchen scale,Green,,,,False,False,False,,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_2_0,2_0,3993,Spi4XHmdPD2CX7xL4,True
analog kitchen scale,Blue,,,,False,False,False,,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_3_0,3_0,3993,LgKQD3p9WLzfg3GN4,True
analog kitchen scale,Pink,,,,False,False,False,,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_4_0,4_0,3993,FJHLtvYAkJLBCyvKZ,True
analog kitchen scale,Ivory,,,,False,False,False,,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_5_0,5_0,3993,o8gB7rkjtK8geGeMW,True
analog kitchen scale,Light blue,,,,False,False,False,,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_6_0,6_0,3993,Xd3pqsLgpnFeWC46C,True
analog kitchen scale,Black,,,,False,False,False,,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Kitchen Things,False,Does not play music,No lighting,FtrWeighing_Remake_7_0,7_0,3993,2Sw2GvGbFtnz6Ft7g,True
anchovy model,,,,,False,False,False,,,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishAntyobiToy,,6999,jqs5hyDDgiozw7D6W,False
angelfish model,,,,,False,False,False,,,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishAngelfishToy,,6933,c68YashL9kXvfwLp4,False
