Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
acoustic guitar,Natural,Body,,,True,True,False,5.0,,3210,Beige,Brown,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,False
acoustic guitar,Cherry,Body,,,True,True,False,5.0,,3210,Red,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,False
acoustic guitar,Brown,Body,,,True,True,False,5.0,,3210,Brown,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr,False
acoustic guitar,Blue,Body,,,True,True,False,5.0,,3210,Blue,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj,False
acoustic guitar,White,Body,,,True,True,False,5.0,,3210,White,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF,False
acoustic guitar,Black,Body,,,True,True,False,5.0,,3210,Black,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m,False
acoustic guitar,Pink,Body,,,True,True,False,5.0,,3210,Pink,White,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B,False
air circulator,White,,,,False,False,False,,1100,275,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,True
air circulator,Black,,,,False,False,False,,1100,275,Black,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,True
air circulator,Pink,,,,False,False,False,,1100,275,Pink,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,True
air circulator,Green,,,,False,False,False,,1100,275,Green,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,True
air circulator,Yellow,,,,False,False,False,,1100,275,Yellow,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,True
alto saxophone,,,,,False,False,False,,3400,850,Yellow,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAltosax,,846,yAj7DyFRDjWbh7qYP,True
anatomical model,,,,,False,False,False,,3500,875,Colorful,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,False,Hospital,False,Does not play music,No lighting,FtrAnatomicalmodel,,1317,t2LzAKDofAZYyqZ6r,True
anchor statue,Black,Color,,,False,True,False,2.0,,1400,Black,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC,False
anchor statue,Silver,Color,,,False,True,False,2.0,,1400,Gray,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM,False
anchor statue,Gold,Color,,,False,True,False,2.0,,1400,Brown,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD,False
anchor statue,White,Color,,,False,True,False,2.0,,1400,White,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha,False
anchor statue,Blue,Color,,,False,True,False,2.0,,1400,Blue,White,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH,False
anchor statue,Retro,Color,,,False,True,False,2.0,,1400,Brown,Gray,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72,False
angled signpost,Home,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg,False
angled signpost,Forest,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M,False
angled signpost,Fishing Spot,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb,False
angled signpost,Resident Services,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp,False
angled signpost,Airport,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz,False
angled signpost,Shop,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s,False
angled signpost,Tailors,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp,False
angled signpost,Museum,Navigation,,,True,True,False,1.0,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A,False
antique bed,Brown,,,,False,False,False,,28000,7000,Brown,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr,True
antique bed,Natural,,,,False,False,False,,28000,7000,Beige,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ,True
antique bed,Black,,,,False,False,False,,28000,7000,Black,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S,True
antique bureau,Brown,,,,False,False,False,,20000,5000,Brown,Brown,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_0_0,0_0,3956,eqP7Ro4PzjhZFGMaX,True
antique bureau,Natural,,,,False,False,False,,20000,5000,Beige,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_1_0,1_0,3956,PwbzwqaKiZ7CPKgh6,True
antique bureau,Black,,,,False,False,False,,20000,5000,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Desk,False,Does not play music,No lighting,FtrAntiqueBureau_Remake_2_0,2_0,3956,nTM9BgbxMArEAuPda,True
antique chair,Brown,,,,False,False,False,,10000,2500,Brown,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_0_0,0_0,3950,gzBvzGmkCqvaa4dfg,True
antique chair,Natural,,,,False,False,False,,10000,2500,Beige,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_1_0,1_0,3950,d4oC34hgWHdZAv8dT,True
antique chair,Black,,,,False,False,False,,10000,2500,Black,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Chair,False,Does not play music,No lighting,FtrAntiqueChairS_Remake_2_0,2_0,3950,eCZttstT4S3Tr4ZSj,True
antique clock,Brown,,,,False,False,False,,44000,11000,Brown,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_0_0,0_0,3954,54WzSWz3bv4j4279w,True
antique clock,Natural,,,,False,False,False,,44000,11000,Beige,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Clock,False,Does not play music,No lighting,FtrAntiqueClock_Remake_1_0,1_0,3954,aPDaateHnZ2K7rnCX,True
