Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
accessories stand,White,,,,False,False,False,,1500.0,375,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF,True
accessories stand,Pink,,,,False,False,False,,1500.0,375,Pink,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn,True
accessories stand,Black,,,,False,False,False,,1500.0,375,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7,True
accessories stand,Brown,,,,False,False,False,,1500.0,375,Brown,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm,True
accessories stand,Light blue,,,,False,False,False,,1500.0,375,Light blue,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,shop,None,None,False,Beauty,False,Does not play music,No lighting,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9,True
ACNH Nintendo Switch,,,,,False,False,False,,35960.0,8990,Green,Light blue,1x1,Nintendo; Nook Shopping,,1.1.0,child's room,living room,None,None,False,Game Console,False,Does not play music,Emission,FtrSwitchAC,,12579,4AgPRnxhoQ922pQ4M,True
agrias butterfly model,,,,,False,False,False,,,9000,Pink,Purple,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectMiirotatehaToy,,7080,6SKoKnXhrf2dk6JZb,False
aluminum briefcase,Stacks of cash,,,,False,False,False,,100000.0,25000,Gray,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,expensive,None,None,True,Office,False,Does not play music,No lighting,FtrDuralumincase_Remake_0_0,0_0,7453,7ovsY7XPNCW3YQAJA,True
aluminum briefcase,Gold bars,,,,False,False,False,,100000.0,25000,Gray,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,expensive,None,None,True,Office,False,Does not play music,No lighting,FtrDuralumincase_Remake_1_0,1_0,7453,Yympao5irjJgMNW6d,True
amp,Black,,,,False,False,False,,5100.0,1275,Black,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,False,Musical Instrument,False,Does not play music,No lighting,FtrAmp_Remake_0_0,0_0,849,p7Drmf7Jh2eNhbcos,True
