Name,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
Admiral's photo,Natural wood,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv,0
Admiral's photo,Dark wood,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP,0
Admiral's photo,Pastel,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_2_0,2_0,6626,MaYsPpzQ7goTdZxyk,0
Admiral's photo,White,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_3_0,3_0,6626,aLPtG7KDGZvFjs4pb,0
Admiral's photo,Pop,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_4_0,4_0,6626,36eafotwE2YtogcHS,0
Admiral's photo,Colorful,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_5_0,5_0,6626,AEPKL9Ss5g9KoseEt,0
Admiral's photo,Silver,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_6_0,6_0,6626,t5ekqLdJHSJRhfSh5,0
Admiral's photo,Gold,Frame,,,False,True,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_7_0,7_0,6626,mG5Qvu9ydLKh5f6zP,0
Agent S's photo,Natural wood,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_0_0,0_0,6709,ajFvDMZMfMgAgcpk8,0
Agent S's photo,Dark wood,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_1_0,1_0,6709,2tCrrFyttoA4LtMJi,0
Agent S's photo,Pastel,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_2_0,2_0,6709,k5LqupBSGSfP3Htea,0
Agent S's photo,White,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_3_0,3_0,6709,d3LgDHw7Cy3XCRXYs,0
Agent S's photo,Pop,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_4_0,4_0,6709,iomBsZt9QqcSzT3H7,0
Agent S's photo,Colorful,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_5_0,5_0,6709,K3hy4ggMxgXBMckmm,0
Agent S's photo,Silver,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_6_0,6_0,6709,46s4b7pCXCjcCr7MP,0
Agent S's photo,Gold,Frame,,,False,True,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_7_0,7_0,6709,2jhfB8AxfCMXKRZrC,0
