Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Filename,Internal ID,Unique Entry ID,Purchasable
aluminum rug,False,1500,375,Gray,Gray,3x2,,Saharah,Medium rug,1.0.0,garden,outdoors,None,Slender Rugs,RugRectAluminumM00,7356,vFkuGbx8Sh2MDLEsq,True
apple rug,True,,1200,Red,Red,3x3,,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,RugOtherAppleM00,7327,5GsjYsaz9NDtQ6QFB,False
Bell-bag rug,False,,6000,None,None,3x3,1200,Nook Miles Shop,Medium rug,1.2.0,expensive,None,None,Park Rugs,RugOtherBellM00,12214,KfRapmYKpizqQWzCg,False
black blocks rug,False,1500,375,Black,Gray,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM03,11104,4kj8FXzMTqvZvqEra,True
black wooden-deck rug,False,1500,375,Black,Black,3x2,,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,RugRectDeckM03,7382,kQDKkEGfdAjqPxd4w,True
black-design kitchen mat,False,1000,250,Black,Orange,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS03,7594,G7CAPiAEpYv6QKbsL,True
blue argyle rug,False,2000,500,Blue,Green,4x3,,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,RugRectArgyleL02,8467,uw8DvCwwBia7ozA72,True
blue blocks rug,False,1500,375,Blue,Blue,3x3,,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareBlockM01,11102,Mjxd8kenDFZgTFXcm,True
blue dotted rug,False,2000,500,Blue,Blue,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectDotL03,7467,JAAx9zSMrjXKKw2ij,True
blue kilim-style carpet,False,2000,500,Blue,Black,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareKirimL01,9316,MhvdxvmyKtddid2G2,True
blue kitchen mat,False,1000,250,Blue,Blue,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectKitchenS02,8394,SLBDbK365pHRnKE5k,True
blue medium round mat,False,1500,375,Blue,Blue,3x3,,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleM02,9546,JfLKCbWRz4CozZYpH,True
blue message mat,False,1000,250,Blue,Blue,2x1,,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,RugOtherMessageS01,9310,5grLuDzGkNL4DYk4r,True
blue Persian rug,False,2000,500,Blue,Beige,5x5,,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,RugSquarePersianL01,8035,CDY97qjWg4xG6egyS,True
blue shaggy rug,False,2000,500,Blue,Blue,5x5,,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,RugSquareShaggyL02,9564,v4ZJPY2ToZPHXp6KH,True
blue small round mat,False,1000,250,Blue,Blue,2x2,,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,RugRoundSimpleS02,9549,BxaqCsC7TqwGdHpib,True
blue stripes rug,False,2000,500,Blue,White,4x3,,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,RugRectBorderL02,7533,dAHzKeTqwA9wD2yfa,True
blue vinyl sheet,False,1500,375,Blue,Colorful,3x2,,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,RugRectVinylM01,7404,b8xZjiyqLPWJsgt73,True
blue wavy rug,False,2000,500,Blue,Light blue,4x3,,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,RugRectWaveL02,7458,SbRQxAyR7EZSRBb4j,True
blue wedding rug,False,1500,375,None,None,3x2,,,Medium rug,1.2.0,party,expensive,wedding,Slender Pattern Rugs,RugRectJuneBrideM00,12462,ghEfAZG8Lt5sb8nt3,False
blue-design kitchen mat,False,1000,250,Blue,Black,2x1,,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,RugRectNativeKitchenS01,7595,DiEHu3wPobZXzhhp8,True
botanical rug,False,2000,500,Green,Green,4x3,,Saharah,Large rug,1.0.0,living room,None,None,Slender Pattern Rugs,RugRectBotanicalL00,7353,nEqsaya7wt6FsWwDC,True
brown argyle rug,False,2000,500,Brown,Yellow,4x3,,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,RugRectArgyleL03,8468,yrQTuyQr2m6axKkr2,True
