Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
dolly,Pink,,,,False,False,False,,1600,400,Pink,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,False,Toy,False,Does not play music,No lighting,FtrDoll_Remake_3_0,3_0,1495,7j89JBTbZsm77yBMS,True
dolly,Purple,,,,False,False,False,,1600,400,Black,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,False,Toy,False,Does not play music,No lighting,FtrDoll_Remake_4_0,4_0,1495,Sw9CjJHeoAHdPYHbZ,True
dolly,White,,,,False,False,False,,1600,400,White,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,child's room,fancy,None,None,False,Toy,False,Does not play music,No lighting,FtrDoll_Remake_5_0,5_0,1495,YnFTa7mCDAbjjxMQ8,True
dorado model,,,,,False,False,False,,,45000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Fish,False,Does not play music,No lighting,FtrFishDoladoToy,,7837,AqLmk2o84jfS3g2eo,False
drone beetle model,,,,,False,False,False,,,600,Green,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectKanabunToy,,7114,6yohwFwFZfX4qLwYH,False
dung beetle model,,,,,False,False,False,,,9000,Black,Beige,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectFunkorogashiToy,,7066,kptqPDnkxCJyGAijA,False
earth-boring dung b. model,,,,,False,False,False,,,900,Purple,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectSenchikoganeToy,,7074,CmFN6RZ9WHsdHruCE,False
electronics kit,Green,,,,False,False,False,,1300,325,Green,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,school,facility,None,None,True,School,False,Does not play music,Emission,FtrElectronicset_Remake_0_0,0_0,4071,PMNdcMWBRp3SbTCZy,True
electronics kit,Black,,,,False,False,False,,1300,325,Black,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,school,facility,None,None,True,School,False,Does not play music,Emission,FtrElectronicset_Remake_1_0,1_0,4071,25zWZtJQknFgxDshn,True
emperor butterfly model,,,,,False,False,False,,,12000,Blue,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectMorufuochoToy,,7086,ems5tvkQ9KxRdf6kj,False
espresso maker,Silver,,,,False,False,False,,5600,1400,Gray,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_0_0,0_0,954,Q4GNDHGCFcWL9bnqB,True
espresso maker,Red,,,,False,False,False,,5600,1400,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_1_0,1_0,954,obbkS9czZYQwfjvDs,True
espresso maker,Yellow,,,,False,False,False,,5600,1400,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_2_0,2_0,954,uZCbmAEFwmGaxATWG,True
espresso maker,Blue,,,,False,False,False,,5600,1400,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_3_0,3_0,954,3D5LbsHmvX24r8K9g,True
espresso maker,Green,,,,False,False,False,,5600,1400,Green,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_4_0,4_0,954,ub6s5caXiQE7TQG67,True
espresso maker,White,,,,False,False,False,,5600,1400,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_5_0,5_0,954,7Fec2Lv8fTbzKdipH,True
espresso maker,Black,,,,False,False,False,,5600,1400,Black,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,True,Dining,False,Does not play music,No lighting,FtrEspresso_Remake_6_0,6_0,954,vcQwWteYKMXcXNsFi,True
essay set,Blank,,,,False,False,False,,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,False,Study,False,Does not play music,No lighting,FtrWriterset_Remake_0_0,0_0,4110,S77ZuGAX8LhFBt7uY,True
essay set,Writer's block,,,,False,False,False,,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,False,Study,False,Does not play music,No lighting,FtrWriterset_Remake_1_0,1_0,4110,qzn2qDAYvfbiKrvaa,True
essay set,In progress,,,,False,False,False,,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,False,Study,False,Does not play music,No lighting,FtrWriterset_Remake_2_0,2_0,4110,Wa27BDHwd596eE9xL,True
essay set,Letter,,,,False,False,False,,650,162,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,den,None,None,None,False,Study,False,Does not play music,No lighting,FtrWriterset_Remake_3_0,3_0,4110,igLQ9TpWZykQ67tRN,True
evening cicada model,,,,,False,False,False,,,1650,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,False,Insect,False,Does not play music,No lighting,FtrInsectHigurashiToy,,7063,JD6PSB2AmjrmdMMtD,False
fancy violin,Natural,,,,False,False,False,,140000,35000,Brown,Black,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,music,expensive,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrViolin_Remake_0_0,0_0,2772,eKNNFj6C7ejvnojpF,True
fancy violin,White,,,,False,False,False,,140000,35000,White,Black,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,music,expensive,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrViolin_Remake_1_0,1_0,2772,85Tnvo4mmEPLWfdip,True
fancy violin,Black,,,,False,False,False,,140000,35000,Black,Black,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,music,expensive,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrViolin_Remake_2_0,2_0,2772,sDgnS2Ytyx5bBtnu2,True
fax machine,White,,Document,Printout,False,False,True,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_0_0,0_0,4101,AZjBktGNYjSPTrD2Z,True
fax machine,White,,Graph,Printout,False,False,True,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_0_1,0_1,4101,4Q9Qv9Cp9vDT5bKwD,True
fax machine,White,,Illustration,Printout,False,False,True,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_0_2,0_2,4101,5DnY4mzS5emxqE6Dc,True
fax machine,White,,Written note,Printout,False,False,True,1,1500,375,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_0_3,0_3,4101,XtBgPf9p5eZGkRQR3,True
fax machine,Red,,Document,Printout,False,False,True,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_1_0,1_0,4101,XbgAiFwvsdprynyGH,True
fax machine,Red,,Graph,Printout,False,False,True,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_1_1,1_1,4101,MJCbv4Cq4xdqbrxFX,True
fax machine,Red,,Illustration,Printout,False,False,True,1,1500,375,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,office,None,None,None,True,Office,False,Does not play music,No lighting,FtrFax_Remake_1_2,1_2,4101,NpvAHGJnNgnvHrZag,True
