Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
magazine rack,Green,Body color,Travel,Magazine,True,True,True,2,,690,Blue,Red,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_1,6_1,1032,F4nMdFpzuYh6JHNXu,False
magazine rack,Green,Body color,Fashion,Magazine,True,True,True,2,,690,Blue,Gray,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_2,6_2,1032,ZtBDo9gESFZcmfaSZ,False
magazine rack,Green,Body color,Sports,Magazine,True,True,True,2,,690,Blue,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_3,6_3,1032,65dPnTZCY2Midu9tC,False
magazine rack,Green,Body color,Comics,Magazine,True,True,True,2,,690,Blue,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_4,6_4,1032,upqpxn4suyZyPfriq,False
magazine rack,Green,Body color,Kids,Magazine,True,True,True,2,,690,Blue,Pink,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_5,6_5,1032,jp4kckYEpdyDHAmZ6,False
magazine rack,Green,Body color,Weekly news,Magazine,True,True,True,2,,690,Blue,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_6_6,6_6,1032,B8hREdy54zwtRELs3,False
magazine rack,Red,Body color,Café,Magazine,True,True,True,2,,690,Red,Blue,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_7_0,7_0,1032,cQiL3sjm6HejBp6jr,False
magazine rack,Red,Body color,Travel,Magazine,True,True,True,2,,690,Red,Red,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_7_1,7_1,1032,MmrStrkiQibWyaTFF,False
magazine rack,Red,Body color,Fashion,Magazine,True,True,True,2,,690,Red,Gray,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_7_2,7_2,1032,2oDKdjPx9etaYKLXq,False
magazine rack,Red,Body color,Sports,Magazine,True,True,True,2,,690,Red,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,False,Study,False,Does not play music,No lighting,FtrMagazinerack_Remake_7_3,7_3,1032,wBmLvSuR9ipfXcczE,False
