Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Lighting Type,Door Deco,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable
air conditioner,White,,,,False,False,False,,63000,15750,White,White,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp,True
air conditioner,Gray,,,,False,False,False,,63000,15750,Gray,Gray,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3,True
air conditioner,Black,,,,False,False,False,,63000,15750,Black,Black,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS,True
air conditioner,Pink,,,,False,False,False,,63000,15750,Pink,Pink,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ,True
air conditioner,Blue,,,,False,False,False,,63000,15750,Light blue,Light blue,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB,True
air conditioner,Brown,,,,False,False,False,,63000,15750,Brown,Brown,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,office,facility,None,None,True,Air Conditioning,False,No lighting,False,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB,True
antique phone,Brown,,,,False,False,False,,16000,4000,Brown,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Home Appliances,False,No lighting,False,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7,True
antique phone,Natural,,,,False,False,False,,16000,4000,Beige,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Home Appliances,False,No lighting,False,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn,True
antique phone,Black,,,,False,False,False,,16000,4000,Black,Yellow,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,False,Home Appliances,False,No lighting,False,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8,True
autograph cards,Signature,,Musician's signature,Signature,False,False,True,1,1400,350,White,White,2x1,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,school,den,None,None,False,Study,False,No lighting,False,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb,True
