Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
acoustic guitar,Natural,Body,,,True,True,False,5,,3210,Beige,Brown,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,False,0,2020-08-13
acoustic guitar,Cherry,Body,,,True,True,False,5,,3210,Red,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,False,0,2020-08-13
acoustic guitar,Brown,Body,,,True,True,False,5,,3210,Brown,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_2_0,2_0,383,vLq9iphAvALBXazDr,False,0,2020-08-13
acoustic guitar,Blue,Body,,,True,True,False,5,,3210,Blue,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_3_0,3_0,383,nuqeFzNE5PneqGHaj,False,0,2020-08-13
acoustic guitar,White,Body,,,True,True,False,5,,3210,White,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_4_0,4_0,383,DotFsojrhCwrLZ3TF,False,0,2020-08-13
acoustic guitar,Black,Body,,,True,True,False,5,,3210,Black,Black,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_5_0,5_0,383,RuRMFyvWnDC2SoG8m,False,0,2020-08-13
acoustic guitar,Pink,Body,,,True,True,False,5,,3210,Pink,White,1x1,,Crafting,,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAcorsticguitar_Remake_6_0,6_0,383,NWv9CJfSPtBTKoL4B,False,0,2020-08-13
air circulator,White,,,,False,False,False,,1100,275,White,White,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_0_0,0_0,3821,J4inuBziPCSGZNEPM,True,0,2020-08-13
air circulator,Black,,,,False,False,False,,1100,275,Black,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F,True,0,2020-08-13
air circulator,Pink,,,,False,False,False,,1100,275,Pink,Pink,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_2_0,2_0,3821,uAY6FFGdXWeAG9gMa,True,0,2020-08-13
air circulator,Green,,,,False,False,False,,1100,275,Green,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_3_0,3_0,3821,bGCQ9bA27ftHoLoKb,True,0,2020-08-13
air circulator,Yellow,,,,False,False,False,,1100,275,Yellow,Gray,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,True,Fan,True,Does not play music,No lighting,FtrCirculator_Remake_4_0,4_0,3821,5pBqNZaZWveKR6K5s,True,0,2020-08-13
alto saxophone,,,,,False,False,False,,3400,850,Yellow,Yellow,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the unique furniture slot,1.0.0,music,None,None,None,True,Musical Instrument,False,Does not play music,No lighting,FtrAltosax,,846,yAj7DyFRDjWbh7qYP,True,0,2020-08-13
anatomical model,,,,,False,False,False,,3500,875,Colorful,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,False,Hospital,False,Does not play music,No lighting,FtrAnatomicalmodel,,1317,t2LzAKDofAZYyqZ6r,True,0,2020-08-13
anchor statue,Black,Color,,,False,True,False,2,,1400,Black,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_0_0,0_0,7238,zgw6WaZRQgrpQ5FTC,False,0,2020-08-13
anchor statue,Silver,Color,,,False,True,False,2,,1400,Gray,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_1_0,1_0,7238,hdZokWHmfoFTt2FjM,False,0,2020-08-13
anchor statue,Gold,Color,,,False,True,False,2,,1400,Brown,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_2_0,2_0,7238,NNfoBT2rgDcmG5HhD,False,0,2020-08-13
anchor statue,White,Color,,,False,True,False,2,,1400,White,Beige,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_3_0,3_0,7238,ZWyY2rRANgXoGcDha,False,0,2020-08-13
anchor statue,Blue,Color,,,False,True,False,2,,1400,Blue,White,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_4_0,4_0,7238,vRhn2x3vj2mii4AKH,False,0,2020-08-13
anchor statue,Retro,Color,,,False,True,False,2,,1400,Brown,Gray,1x1,,Fishing Tourney,,1.0.0,ocean,None,None,None,False,Seaside,True,Does not play music,No lighting,FtrShipanchor_Remake_5_0,5_0,7238,6wyLNus8QqXkbBu72,False,0,2020-08-13
angled signpost,Home,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_0_0,0_0,7867,kzirasu23o7Xwz8Cg,False,0,2020-08-13
angled signpost,Forest,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_1_0,1_0,7867,8MxLKTxpMDwarBE2M,False,0,2020-08-13
angled signpost,Fishing Spot,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_2_0,2_0,7867,uvn5kiMi84NMuesmb,False,0,2020-08-13
angled signpost,Resident Services,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp,False,0,2020-08-13
angled signpost,Airport,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_4_0,4_0,7867,BGaTv6ghfWHQohYJz,False,0,2020-08-13
angled signpost,Shop,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_5_0,5_0,7867,QNTrffSxKbCJH3C2s,False,0,2020-08-13
angled signpost,Tailors,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_6_0,6_0,7867,TW9n423omNZDjZ9hp,False,0,2020-08-13
angled signpost,Museum,Navigation,,,True,True,False,1,,600,Beige,Brown,1x1,,Crafting,,1.0.0,garden,None,None,None,False,Vehicle,True,Does not play music,No lighting,FtrSignpostTilt_Remake_7_0,7_0,7867,wPX6wELbCn9Jyb37A,False,0,2020-08-13
antique bed,Brown,,,,False,False,False,,28000,7000,Brown,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_0_0,0_0,3957,c7rQKnQBvtMCpGNhr,True,0,2020-08-13
antique bed,Natural,,,,False,False,False,,28000,7000,Beige,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_1_0,1_0,3957,gMCFieFjJLX4yXBPJ,True,0,2020-08-13
antique bed,Black,,,,False,False,False,,28000,7000,Black,White,2x2,,Nook's Cranny,Available in Nook's Cranny (upgraded only); in the third unique furniture slot,1.0.0,living room,expensive,antique,None,True,Bed,False,Does not play music,No lighting,FtrAntiqueBedW_Remake_2_0,2_0,3957,s5ZQQKh3XYcue8R6S,True,0,2020-08-13
