Name,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
Admiral's poster,1000,250,Green,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBrd06,10814,3LW8HyqLZTJRaGQT9,True,0,2020-08-13
Agent S's poster,1000,250,Blue,Gray,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlSqu05,10425,bZu92nbNfGmQvp54D,True,0,2020-08-13
Agnes's poster,1000,250,Pink,Black,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPig17,10401,2wZBfe8Ed7QMvQ8tX,True,0,2020-08-13
Al's poster,1000,250,Red,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlGor08,10590,sat2PG8L97DymZbQw,True,0,2020-08-13
Alfonso's poster,1000,250,Orange,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCrd00,10382,NjW35Zc7MnTipYZbg,True,0,2020-08-13
Alice's poster,1000,250,Beige,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlKal01,10411,M89MiTg6MwBt38bYC,True,0,2020-08-13
Alli's poster,1000,250,Light blue,Red,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlCrd01,10655,6yDr388PQngpmfKyw,True,0,2020-08-13
Amelia's poster,1000,250,Red,White,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlPbr01,10687,xDPzyfpuH42GzRP25,True,0,2020-08-13
Anabelle's poster,1000,250,Yellow,Blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlAnt03,10800,BpX27retKhbmi8f3F,True,0,2020-08-13
Anchovy's poster,1000,250,Brown,Light blue,1x1,Nook's Shopping - Posters,In the Special Items section in Nook Shopping; after inviting the villager to Photopia (either through amiibo; or if the villager lives in your town),1.0.0,PosterNpcNmlBrd02,10782,fNnTbreeuJ9AxCA6M,True,0,2020-08-13
