Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
3D glasses,White,False,490,122,White,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party,AccessoryEye,True,AccessoryGlassThreed0,4463,FNxEraBTeWRiCvtFu,True
3D glasses,Black,False,490,122,Black,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,party,AccessoryEye,True,AccessoryGlassThreed1,11020,mM9SXPCcGPfPJAmtm,True
bandage,Beige,False,140,35,Beige,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Active,outdoorsy; comfy; sporty,AccessoryMouth,False,AccessoryMouthBandageSkin,4677,2qFT5iPkk8bREvpkj,True
beak,Yellow,False,490,122,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,False,AccessoryMouthBeakYellow,3549,T5CpsJi4xBSachNL5,True
birthday shades,Yellow,False,,620,Yellow,Red,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,AccessoryEye,True,AccessoryGlassBirthday0,4510,S6CiB9ZvzBTMhEnDz,False
birthday shades,Pink,False,,620,Pink,Pink,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,AccessoryEye,True,AccessoryGlassBirthday1,11217,g3MPcmAKM4z5h8KYX,False
birthday shades,Red,False,,620,Red,Pink,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,AccessoryEye,True,AccessoryGlassBirthday2,11218,ojXoAAj8Bs2XgRiWB,False
birthday shades,Blue,False,,620,Light blue,Green,1x1,,Birthday,,All Year,False,1.0.0,Gorgeous,party,AccessoryEye,True,AccessoryGlassBirthday3,11219,Yr9mRJaZM44554oTS,False
bottom-rimmed glasses,Red,False,1100,275,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose0,4597,ZHqtvcoqqDpJLf9Pc,True
bottom-rimmed glasses,Purple,False,1100,275,Purple,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose1,11081,akRhFD3qeJEPM7WiD,True
bottom-rimmed glasses,Green,False,1100,275,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose2,11082,EtxJZDCgnqjWkETqK,True
bottom-rimmed glasses,Blue,False,1100,275,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose3,11083,LEbiXtkHoiEMEtjWK,True
bottom-rimmed glasses,Yellow,False,1100,275,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose4,11084,w7bEbAGSQTvur6D6f,True
bottom-rimmed glasses,Pink,False,1100,275,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Simple,everyday; comfy; work,AccessoryEye,True,AccessoryGlassLoose5,11085,zpzD4NjApEyazKyKt,True
