Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
acid-washed jeans,Blue,False,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Simple,everyday; outdoorsy,False,BottomsTexPantsNormalChemical0,5286,QaecPktemD3XuFdwy,1
acid-washed jeans,Black,False,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; outdoorsy,False,BottomsTexPantsNormalChemical1,11385,a7HNjgRFkCznkDLLH,1
animal-stripes skirt,Tiger,False,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday,False,BottomsTexSkirtBoxStripe0,9842,qmtHwBmtJDvtNntTs,1
animal-stripes skirt,Zebra,False,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,everyday,False,BottomsTexSkirtBoxStripe1,12067,4mDRmSG3scfXh3oon,1
apron skirt,Purple,False,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron0,5710,MtsvEMQ9Z9damsycd,1
apron skirt,Blue,False,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron1,8921,cfzi35RpY8onR3hra,1
apron skirt,Beige,False,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,work,False,BottomsTexSkirtBoxApron2,8922,AmWS5iMbatqDr2eLs,1
athletic pants,Red,False,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey0,3311,iL9vd8DerEEJDJQbA,1
athletic pants,Green,False,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey1,11295,Ygp8L2zeem8ECZroK,1
athletic pants,Black,False,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey2,11296,8NcTmEpkckocYvTf2,1
athletic pants,Blue,False,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey3,11297,R6apb74ivZCDbvEvi,1
athletic pants,Berry red,False,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey4,11298,HSgcZgAkXCBroWboG,1
athletic pants,Navy blue,False,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsNormalJersey5,11299,zauG7p57gDAPSqPH4,1
athletic shorts,Red,False,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey0,4518,Pz4KvZgNanynj88ut,1
athletic shorts,Green,False,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey1,11905,Cgi5fvfgm5YEdCpNu,1
athletic shorts,Black,False,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey2,11906,XZyRpyaiPbfw5nwTD,1
athletic shorts,Blue,False,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Active,outdoorsy; comfy; sporty,False,BottomsTexPantsHalfJersey3,11907,omNsW8d3EgoAs3tLL,1
