Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Secondary Shape,Filename,Internal ID,Unique Entry ID,Purchasable,Type
academy uniform,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,L,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW,1,Box
academy uniform,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,L,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35,1,Box
academy uniform,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,L,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM,1,Box
adventure dress,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale,Yes,H,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R,1,Balloon
alpinist dress,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,H,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP,1,Balloon
alpinist dress,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,H,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy,1,Balloon
alpinist dress,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,H,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs,1,Balloon
alpinist overalls,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,H,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa,1,Overall
alpinist overalls,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,H,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd,1,Overall
alpinist overalls,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,H,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj,1,Overall
ancient belted robe,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK,1,Kimono
ancient belted robe,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,L,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA,1,Kimono
