Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
skateboarding helmet,Light blue,False,880,220,Light blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Active,sporty,HeadCap,True,CapHatSkate4,12051,N8xLFFhnWd9dPNL4P,True
skeleton hood,White,False,1400,350,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; goth; theatrical,Headgear_NoEarNoJaw,False,CapCostumeSkullWhite,5328,QypAPiQ8g9ALJ5sZ2,True
ski mask,Green,False,560,140,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,goth,HeadFullFace,False,CapFullfaceFaceknit0,5327,XchdHLkJEuMNpTtS6,True
ski mask,Black,False,560,140,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,goth,HeadFullFace,False,CapFullfaceFaceknit1,10826,ogspBj87pEQMkarDs,True
ski mask,Lime,False,560,140,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,goth,HeadFullFace,False,CapFullfaceFaceknit2,10827,3qjyhB6NyeDpHHTk8,True
ski mask,Red,False,560,140,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,goth,HeadFullFace,False,CapFullfaceFaceknit3,10828,67NFw4hCiQh949CX5,True
ski mask,Blue,False,560,140,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cool,goth,HeadFullFace,False,CapFullfaceFaceknit4,10829,Hfs3utBiDRksPaTjp,True
sky-egg shell,None,True,,800,Light blue,Red,1x1,,Crafting,,All Year,False,1.1.0a,Active,fairy tale; party; theatrical,HeadCap,True,CapHatEggsky0,12443,gx5CGMFvPAuqsgYye,False
small silk hat,Purple,False,1820,455,Purple,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,formal; party; theatrical,HeadHairOrnament_Left,True,CapOrnamentLMinisilkhat0,7286,QTsXxAtuzdaCEe22Q,True
small silk hat,Black,False,1820,455,Black,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,formal; party; theatrical,HeadHairOrnament_Left,True,CapOrnamentLMinisilkhat1,11057,KqxGXsprWBskSFuFE,True
small silk hat,Red,False,1820,455,Red,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cute,formal; party; theatrical,HeadHairOrnament_Left,True,CapOrnamentLMinisilkhat2,11058,RteWrMv6hArJmtuQp,True
snowperson head,White,True,,7000,White,Orange,1x1,,Crafting,,Winter,False,1.0.0,Cute,everyday; outdoorsy,Headgear_NoEarNoJaw,False,CapCostumeSnowball0,8609,GqFZJ5PfCqn93XvrQ,False
snowy knit cap,Blue,False,700,175,Blue,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit0,5408,AB966jKFh6pjSggnF,True
snowy knit cap,Black,False,700,175,Black,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit1,10950,Aci2hRSoLELPTmcfZ,True
snowy knit cap,Brown,False,700,175,Brown,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit2,10951,MAniJeYM33ThMatzJ,True
snowy knit cap,Pink,False,700,175,Pink,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit3,10952,mF9w5Xb2ZwWYCuQeE,True
snowy knit cap,Green,False,700,175,Green,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit4,10953,3rJbwrvpBYreKNa2g,True
snowy knit cap,Orange,False,700,175,Orange,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit5,10954,kKnRd3kW3MNmyPC7s,True
snowy knit cap,Red,False,700,175,Red,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit6,10955,a6SPpkGN522Q594Go,True
snowy knit cap,White,False,700,175,White,Gray,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy,HeadCap,True,CapHatSnowknit7,10956,AMEAt7bNv2FKkuErK,True
soft-serve hat,Vanilla,False,630,157,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream0,6998,jqpTmDvBaG4prYPDn,True
soft-serve hat,Chocolate,False,630,157,Brown,Brown,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream1,10835,M54jLyHnF35q35mq2,True
soft-serve hat,Gold leaf,False,630,157,Yellow,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream2,10836,nKHTeWb7yBHnckSXJ,True
soft-serve hat,Strawberry,False,630,157,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream3,10837,MsR4jMTnbtnrhya9C,True
soft-serve hat,Green tea,False,630,157,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream4,10838,PPyYhSmHXc3PJroiL,True
soft-serve hat,Pale sky,False,630,157,Light blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream5,10839,gvf3HCe3WiesRHrCt,True
soft-serve hat,Purple sweet potato,False,630,157,Purple,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream6,10840,q8Nm5HsAo9q7NYG3F,True
soft-serve hat,Black sesame,False,630,157,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatIcecream7,10841,SKNM9PN6Zf5sY3ydD,True
