Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
acorn knit cap,Chestnut,False,880,220,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn0,5315,awiucsYWz5zP8GpRg
acorn knit cap,Mustard,False,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH
acorn knit cap,Avocado,False,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn2,10934,we44e3C8foQySY2y7
acorn knit cap,Berry red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe
acorn knit cap,Navy blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ
acorn knit cap,Cream,False,880,220,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,For sale,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8
alpinist hat,Green,False,NFS,500,Green,Green,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,Not for sale,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj
alpinist hat,Blue,False,NFS,500,Blue,Light blue,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,Not for sale,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk
alpinist hat,Red,False,NFS,500,Red,Pink,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,Not for sale,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B
ancient administrator hat,Black,False,NFS,800,Black,Black,1x1,,Gulliver,,All Year,False,1.0.0,Elegant,formal; work,HeadCap,True,Not for sale,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw
apple hat,Red,True,NFS,1000,Red,Yellow,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,Not for sale,CapHatApple0,9871,rEpxF8jscsm4fwjSf
Aran-knit cap,White,False,880,220,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,For sale,CapHatAlan0,9864,6Zi8WYr34D8niHAnC
Aran-knit cap,Red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,For sale,CapHatAlan1,12045,uFfoH47SuuTmAzaXG
