Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
fairy-tale hood,Light green,False,1560,390,Green,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; theatrical,Headgear_HasBang,False,CapBangsCowl6,11841,8vyq8tmyGc6iYFr4a,True
fairy-tale hood,Orange,False,1560,390,Orange,Orange,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,fairy tale; theatrical,Headgear_HasBang,False,CapBangsCowl7,11842,yKxdQZF5kp4m8Wsss,True
faux-fur hat,Beige,False,1300,325,Beige,Beige,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka0,5144,6ZgCgtCnoJFuj6jxf,True
faux-fur hat,Brown,False,1300,325,Brown,Brown,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka1,10920,MXLMvkhrb8dS8RExf,True
faux-fur hat,Gray,False,1300,325,Gray,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka2,10921,dhSRykyYK42XHEST5,True
faux-fur hat,Black,False,1300,325,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,True,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka3,10922,Zc3ysPxiArnwyNZPd,True
faux-fur hat,Pink,False,1300,325,Pink,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka4,10923,g2SpDCL9RQKeo8DXL,True
faux-fur hat,White,False,1300,325,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka5,10924,om6xFnwFeAiAbCEdX,True
faux-fur hat,Red,False,1300,325,Red,Red,1x1,,Able Sisters,Available from Able Sisters shop only,Winter,False,1.0.0,Elegant,everyday; formal; party,HeadCap,True,CapHatUshanka6,10925,vpdiNfhXdPmamBECw,True
fedora,Beige,False,1100,275,Beige,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cool,everyday; formal; work,HeadCap,True,CapHatFelt0,5301,JBBdsfZAd7BjXcyko,True
