Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
A tee,,False,560,140,Blue,White,1x1,,Nook Shopping Catalog,,All Year,False,1.0.0,Simple,everyday; comfy,True,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,True
acid-washed jacket,Blue,False,1680,420,Blue,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Simple,everyday; outdoorsy,True,TopsTexTopOuterLChemical0,5289,zAiLmCwSaWADqXkRf,True
acid-washed jacket,Black,False,1680,420,Black,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Simple,everyday; outdoorsy,True,TopsTexTopOuterLChemical1,9538,K96PFk2AuQFqPrKH3,True
after-school jacket,Black,False,1050,262,Black,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya,True
after-school jacket,Berry red,False,1050,262,Red,Green,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A,True
after-school jacket,Green,False,1050,262,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen2,7555,YHLqiyRYuF8BwEgaF,True
after-school jacket,White,False,1050,262,White,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen3,7556,N6nbrMGHwztxBWTMm,True
after-school jacket,Purple,False,1050,262,Purple,Blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen4,7557,svQfLQXgrowTDaDoh,True
after-school jacket,Gray,False,1050,262,Gray,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a,True
after-school jacket,Blue,False,1050,262,Blue,Purple,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,everyday; comfy,True,TopsTexTopYshirtsLGakuranopen6,7559,KzNwELnmeCmWBQMoD,True
