Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
acorn knit cap,Chestnut,False,880,220,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn0,5315,awiucsYWz5zP8GpRg,True,False,2020-08-13
acorn knit cap,Mustard,False,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH,True,False,2020-08-13
acorn knit cap,Avocado,False,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn2,10934,we44e3C8foQySY2y7,True,False,2020-08-13
acorn knit cap,Berry red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe,True,False,2020-08-13
acorn knit cap,Navy blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ,True,False,2020-08-13
acorn knit cap,Cream,False,880,220,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8,True,False,2020-08-13
alpinist hat,Green,False,,500,Green,Green,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj,False,False,2020-08-13
alpinist hat,Blue,False,,500,Blue,Light blue,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk,False,False,2020-08-13
alpinist hat,Red,False,,500,Red,Pink,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B,False,False,2020-08-13
ancient administrator hat,Black,False,,800,Black,Black,1x1,,Gulliver,,All Year,False,1.0.0,Elegant,formal; work,HeadCap,True,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw,False,False,2020-08-13
apple hat,Red,True,,1000,Red,Yellow,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatApple0,9871,rEpxF8jscsm4fwjSf,False,False,2020-08-13
Aran-knit cap,White,False,880,220,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan0,9864,6Zi8WYr34D8niHAnC,True,False,2020-08-13
Aran-knit cap,Red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan1,12045,uFfoH47SuuTmAzaXG,True,False,2020-08-13
Aran-knit cap,Blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan2,12046,jeSebE2Y5fYhTj22k,True,False,2020-08-13
Aran-knit cap,Green,False,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan3,12047,fnowt95fR7QRBrux7,True,False,2020-08-13
baby's hat,Baby mint,False,560,140,Light blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet0,5363,rv9rW8dCfB8k73Hzr,True,False,2020-08-13
baby's hat,Baby purple,False,560,140,Pink,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet1,11853,5939Ws882wTSv7sJK,True,False,2020-08-13
baby's hat,Baby yellow,False,560,140,Yellow,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet2,11854,qk3PJdK2SZK4vsFKo,True,False,2020-08-13
baby's hat,Baby green,False,560,140,Green,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet3,11855,hADTfx6Y2hKri4obE,True,False,2020-08-13
baby's hat,Baby pink,False,560,140,Red,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet4,11856,wyPrRhtyyMtn7Hy3Y,True,False,2020-08-13
baby's hat,Baby gray,False,560,140,Beige,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet5,11857,7FLgET2RH6aejsb8v,True,False,2020-08-13
baby's hat,Baby blue,False,560,140,Blue,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet6,11858,qHj5WWwZRstJtjP2d,True,False,2020-08-13
baby's hat,Baby orange,False,560,140,Orange,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cute,comfy,Headgear_HasBang,False,CapBangsBonnet7,11859,Pf6AxNWkC8D4BBoEN,True,False,2020-08-13
