Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
antique boots,Brown,False,2640,660,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; fairy tale,False,ShoesKneeAntique0,5523,jQ9MMJXSCde9q8NPP,True,False,2020-08-13
antique boots,Black,False,2640,660,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; fairy tale,False,ShoesKneeAntique1,11689,hpTunJzb4CJPueMW7,True,False,2020-08-13
antique boots,Greige,False,2640,660,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Simple,everyday; fairy tale,False,ShoesKneeAntique2,11690,ngk8sGuhSHQoBmwqv,True,False,2020-08-13
armor shoes,Gray,True,,3000,Gray,Gray,1x1,,Crafting,,All Year,False,1.0.0,Cool,fairy tale; goth,False,ShoesKneeKnightIron,5472,osBLFxSiCDnRf8eXR,False,False,2020-08-13
babouches,Blue,False,560,140,Light blue,White,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush0,6043,AvkHgWmEW5vTs4Ckc,True,False,2020-08-13
babouches,Orange,False,560,140,Orange,White,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush1,10109,hzHj4PYSRpa8fkQey,True,False,2020-08-13
babouches,Pink,False,560,140,Pink,White,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush2,10110,KrfcX2z6gFKZziGwx,True,False,2020-08-13
babouches,Yellow,False,560,140,Yellow,White,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush3,10111,BRTZYzjci4T3qodP8,True,False,2020-08-13
babouches,Gray,False,560,140,Gray,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush4,10112,N9jHqLCE8WsfZxJHo,True,False,2020-08-13
babouches,Purple,False,560,140,Purple,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush5,10113,sth7EXmjdbwzk439A,True,False,2020-08-13
babouches,Mint,False,560,140,Green,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush6,10114,okW9rusWLMPm4bcDz,True,False,2020-08-13
babouches,Red,False,560,140,Red,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Cute,comfy; vacation,False,ShoesSandalBaboush7,10115,EZKKTpCAN4CEvJJwC,True,False,2020-08-13
ballet slippers,Pink,False,2200,550,Pink,Pink,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet0,5608,uABG45ozFPCwrBXuS,True,False,2020-08-13
ballet slippers,Mint,False,2200,550,Light blue,Light blue,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet1,10155,bE4c36LYqcRmkajHL,True,False,2020-08-13
ballet slippers,Blue,False,2200,550,Blue,Blue,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet2,10156,jJ565rnrzozyhRNYP,True,False,2020-08-13
ballet slippers,Purple,False,2200,550,Purple,Purple,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet3,10157,kuEQdTi7ZXLw5AZgR,True,False,2020-08-13
ballet slippers,Black,False,2200,550,Black,Black,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet4,10158,oQNLiop5Do6CH5eTu,True,False,2020-08-13
ballet slippers,White,False,2200,550,Beige,Beige,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet5,10159,cQt3ftJejYwuPrqWS,True,False,2020-08-13
ballet slippers,Yellow,False,2200,550,Yellow,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet6,10160,Qv7eADgLwdsNuSBZZ,True,False,2020-08-13
ballet slippers,Red,False,2200,550,Orange,Orange,1x1,,Kicks,,All Year,False,1.0.0,Elegant,fairy tale; sporty; theatrical; work,False,ShoesLowcutBallet7,10161,CpLSLkvz3Jo982p6e,True,False,2020-08-13
