Name,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
apple umbrella,True,,1400,Yellow,Red,1x1,,Crafting,,1.0.0,True,UmbrellaApple0,9948,FPxdw28z9s2gYgjmr,False,0,2020-08-13
bat umbrella,False,840,210,Black,Black,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBat0,6919,EZnRx49foq3M36yQ4,True,0,2020-08-13
beach umbrella,False,770,192,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaBeach0,9957,3SSFuv6LiH63jych3,True,0,2020-08-13
bear umbrella,False,1570,392,Brown,Beige,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaBear0,7167,s7KoPpysn27AeC5zi,True,0,2020-08-13
black chic umbrella,False,1620,405,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace5,12137,p8yg9xiFwPscNDJNg,True,0,2020-08-13
black lace umbrella,False,750,187,Black,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaRace0,6915,7vuSb5AutpNQA573q,True,0,2020-08-13
blue dot parasol,False,750,187,Blue,White,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaPolkadot2,9956,SwKuBi2vT7K365A3p,True,0,2020-08-13
blue shiny-bows parasol,False,1620,405,Blue,White,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaPacodarace2,12134,BxZ4XdtfJEyWyBPFe,True,0,2020-08-13
blue umbrella,False,770,192,Blue,Blue,1x1,,Nook's Cranny,,1.0.0,True,UmbrellaStandard2,9959,XyJaqSLnBjh5J6vLp,True,0,2020-08-13
busted umbrella,False,1570,392,Black,Black,1x1,,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,True,UmbrellaBroken0,7182,gkHD9GKJT9eAekxWQ,True,0,2020-08-13
